table_catalog	table_schema	table_name	table_type	self_referencing_column_name	reference_generation	user_defined_type_catalog	user_defined_type_schema	user_defined_type_name	is_insertable_into	is_typed	commit_action
practice	public	alltypes	BASE TABLE	​(NULL)​	​(NULL)​	​(NULL)​	​(NULL)​	​(NULL)​	YES	NO	​(NULL)​
practice	public	classes	BASE TABLE	​(NULL)​	​(NULL)​	​(NULL)​	​(NULL)​	​(NULL)​	YES	NO	​(NULL)​
practice	public	schedule	BASE TABLE	​(NULL)​	​(NULL)​	​(NULL)​	​(NULL)​	​(NULL)​	YES	NO	​(NULL)​
practice	public	students	BASE TABLE	​(NULL)​	​(NULL)​	​(NULL)​	​(NULL)​	​(NULL)​	YES	NO	​(NULL)​
